GeneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;threshold_padj;Overexpressed;Underexpressed
AT1G52390;5,329941021;-3,362660932;1,149386434;-2,925613904;0,003437773;0,014583254;TRUE;FALSE;TRUE
AT1G14220;22,65948272;1,554715839;0,531596578;2,924615963;0,003448816;0,014619726;TRUE;TRUE;FALSE
AT1G01680;7,384307784;-2,526907097;0,864500491;-2,922967799;0,003467124;0,014686925;TRUE;FALSE;TRUE
AT1G26780;16,82491647;-1,618567882;0,553935315;-2,921943841;0,003478543;0,014719656;TRUE;FALSE;TRUE
AT5G62080;18,99612194;-1,904518658;0,651987778;-2,921095643;0,003488027;0,014747202;TRUE;FALSE;TRUE
AT3G05880;3019,434384;-1,599257005;0,547674161;-2,920088477;0,00349932;0,014789265;TRUE;FALSE;TRUE
AT3G50460;7,094274961;-2,677418456;0,917674346;-2,91761284;0,00352722;0,014894021;TRUE;FALSE;TRUE
AT3G28820;6,020135221;-3,545594983;1,215341261;-2,917365762;0,003530016;0,014901781;TRUE;FALSE;TRUE
AT3G48790;13,60825689;-1,76782693;0,60628475;-2,915836047;0,003547369;0,014950071;TRUE;FALSE;TRUE
AT1G47485;5,743675807;-3,037374872;1,043677762;-2,910261177;0,003611268;0,015157949;TRUE;FALSE;TRUE
AT3G05327;9,41737905;-2,170815476;0,747966395;-2,902290118;0,003704453;0,015462261;TRUE;FALSE;TRUE
AT1G63600;6,871182145;2,767409748;0,953786784;2,901497268;0,00371384;0,015490631;TRUE;TRUE;FALSE
AT5G53390;12,04305171;-1,917905581;0,661081952;-2,90116161;0,003717821;0,015501829;TRUE;FALSE;TRUE
AT2G32610;11,27751535;2,127173592;0,734429921;2,896360199;0,003775188;0,015699978;TRUE;TRUE;FALSE
AT2G01008;11,39646633;1,984151652;0,685558431;2,894212314;0,00380111;0,015799542;TRUE;TRUE;FALSE
AT5G08445;15,25254546;-1,682108908;0,581250274;-2,893949443;0,003804294;0,015804536;TRUE;FALSE;TRUE
AT1G71160;6,668780152;-3,278925374;1,133265981;-2,893341395;0,003811667;0,01582967;TRUE;FALSE;TRUE
AT5G45090;10,28112313;-2,014456659;0,696739255;-2,891263331;0,003836965;0,015915386;TRUE;FALSE;TRUE
AT3G48640;6,189545252;-3,116997167;1,078256636;-2,890774853;0,003842933;0,015931856;TRUE;FALSE;TRUE
AT2G25297;9,126535539;-2,226215264;0,771176668;-2,886777253;0,003892097;0,016113334;TRUE;FALSE;TRUE
AT5G03270;7,23641039;-2,486944977;0,861627519;-2,8863342;0,00389758;0,016130454;TRUE;FALSE;TRUE
AT1G62225;10,95785555;-2,054221313;0,712302922;-2,883915325;0,003927643;0,016221195;TRUE;FALSE;TRUE
AT2G46770;5,19532617;-3,319646003;1,151248724;-2,883517639;0,003932606;0,016238887;TRUE;FALSE;TRUE
AT1G11112;8,167512793;-2,454937034;0,853344116;-2,876842986;0,004016754;0,016546371;TRUE;FALSE;TRUE
AT5G62730;5,203339124;-3,321519718;1,154713874;-2,876487235;0,004021285;0,016560925;TRUE;FALSE;TRUE
AT4G02780;8,218388655;-2,280555294;0,795394651;-2,867199687;0,004141216;0,016962677;TRUE;FALSE;TRUE
AT3G20210;6,967337258;-2,727804936;0,951751442;-2,866089626;0,004155766;0,017013533;TRUE;FALSE;TRUE
AT4G26590;8,204248401;-2,487177968;0,868216413;-2,864698168;0,004174069;0,017076775;TRUE;FALSE;TRUE
AT1G13150;6,560955903;-3,215684909;1,122843441;-2,86387647;0,004184912;0,017106506;TRUE;FALSE;TRUE
AT4G24150;132,9850481;2,79140823;0,97738637;2,855992589;0,004290251;0,017471417;TRUE;TRUE;FALSE
